id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4524,825,Visa,Debit,4.34E+15,Dec-22,623,YES,2,24295,01-09-2002,2008,No
2731,825,Visa,Debit,4.96E+15,Dec-20,393,YES,2,21968,01-04-2014,2014,No
3701,825,Visa,Debit,4.58E+15,Feb-24,719,YES,2,46414,01-07-2003,2004,No
42,825,Visa,Credit,4.88E+15,Aug-24,693,NO,1,12400,01-01-2003,2012,No
4659,825,Mastercard,Debit (Prepaid),5.72E+15,Mar-09,75,YES,1,28,01-09-2008,2009,No
4537,1746,Visa,Credit,4.40E+15,Sep-03,736,YES,1,27500,01-09-2003,2012,No
1278,1746,Visa,Debit,4.00E+15,Jul-22,972,YES,2,28508,01-02-2011,2011,No
3687,1746,Mastercard,Debit,5.63E+15,Jun-22,48,YES,2,9022,01-07-2003,2015,No
3465,1746,Mastercard,Debit (Prepaid),5.71E+15,Nov-20,722,YES,2,54,01-06-2010,2015,No
3754,1746,Mastercard,Debit (Prepaid),5.77E+15,Feb-23,908,YES,1,99,01-07-2006,2012,No
5144,1718,Mastercard,Debit,5.50E+15,Mar-22,677,YES,2,31599,01-10-2009,2009,No
2029,1718,Mastercard,Debit,5.80E+15,Jul-23,258,NO,2,27480,01-03-2002,2008,No
2379,1718,Mastercard,Debit,5.77E+15,Feb-20,992,YES,1,26743,01-03-2019,2019,No
2732,1718,Visa,Debit,4.24E+15,Jun-20,928,YES,1,31463,01-04-2014,2014,No
4706,1718,Mastercard,Debit,5.19E+15,Jun-24,360,YES,1,16055,01-09-2009,2009,No
281,708,Visa,Credit,4.02E+15,May-15,877,YES,2,98100,01-01-2011,2011,No
1106,708,Mastercard,Debit (Prepaid),5.58E+15,Jun-20,448,YES,1,62,01-02-2007,2007,No
5621,708,Visa,Debit,4.03E+15,Jun-22,53,YES,1,132439,01-11-2010,2011,No
5165,708,Visa,Debit,4.94E+15,Jun-20,649,YES,1,125723,01-10-2009,2010,No
5757,1164,Mastercard,Debit,5.91E+15,Jan-22,886,YES,1,34900,01-12-1999,2012,No
27,68,Visa,Credit,4.10E+15,Sep-21,74,YES,2,9900,01-01-2002,2019,No
4648,68,Visa,Debit,4.28E+15,Jul-13,865,YES,2,21587,01-09-2007,2007,No
5435,68,Visa,Credit,4.41E+15,Nov-22,922,YES,2,15800,01-11-2005,2011,No
3287,1075,Mastercard,Debit,5.20E+15,Apr-22,861,YES,1,29964,01-06-2005,2014,No
4761,1075,Mastercard,Credit,5.09E+15,Jul-23,686,YES,2,11200,01-09-2010,2010,No
5286,1075,Mastercard,Debit,5.77E+15,Dec-21,669,NO,2,26753,01-10-2014,2014,No
744,1711,Visa,Debit,4.60E+15,May-23,689,NO,2,17480,01-01-2020,2020,No
5559,1116,Mastercard,Debit,5.34E+15,Sep-21,396,YES,2,26546,01-11-2009,2009,No
4905,1116,Mastercard,Debit,5.67E+15,Jan-21,356,YES,1,23253,01-09-2017,2017,No
79,1116,Visa,Credit,4.40E+15,Feb-21,497,YES,1,16100,01-01-2005,2014,No
301,1116,Visa,Credit,4.81E+15,Feb-21,921,YES,2,8700,01-01-2012,2012,No
3115,1116,Mastercard,Debit,5.22E+15,Jan-19,922,YES,1,29333,01-05-2012,2012,No
3880,1752,Mastercard,Debit,5.29E+15,Jul-24,265,YES,2,9496,01-07-2009,2012,No
1766,192,Visa,Debit,4.86E+15,Jul-21,930,YES,1,25499,01-02-2020,2020,No
1767,192,Visa,Debit,4.32E+15,Feb-20,358,YES,1,18641,01-02-2020,2020,No
745,640,Visa,Debit,4.85E+15,May-23,995,YES,1,26019,01-01-2020,2020,No
1459,1679,Mastercard,Debit,5.66E+15,Jan-21,547,YES,1,25845,01-02-2020,2020,No
138,1094,Visa,Debit,4.56E+15,Jun-23,64,YES,2,2365,01-01-2007,2009,No
3755,1094,Mastercard,Debit,5.52E+15,Jun-23,419,YES,2,18684,01-07-2006,2017,No
1768,1094,Visa,Credit,4.51E+15,Feb-21,364,NO,2,7400,01-02-2020,2020,No
5924,1590,Mastercard,Debit,5.55E+15,Dec-24,145,YES,2,4147,01-12-2008,2016,No
6074,1660,Visa,Debit (Prepaid),4.99E+15,Apr-22,385,YES,1,76,01-12-2012,2012,No
5923,1660,Discover,Credit,6.73E+15,Jan-09,105,NO,1,4700,01-12-2008,2014,No
4223,1660,Visa,Credit,4.16E+15,Jun-21,433,YES,2,5800,01-08-2007,2011,No
4455,1660,Mastercard,Debit,5.23E+15,Mar-24,754,YES,2,12082,01-08-2016,2016,No
3234,1660,Mastercard,Credit,5.07E+15,Mar-23,741,NO,2,6000,01-06-2002,2010,No
1005,1660,Visa,Debit,4.99E+15,Nov-09,367,YES,1,620,01-02-2002,2014,No
151,1747,Mastercard,Debit,5.89E+15,Aug-22,879,YES,1,14499,01-01-2008,2008,No
4198,1747,Mastercard,Debit,5.18E+15,Jul-23,457,YES,2,12332,01-08-2007,2009,No
4403,1747,Mastercard,Debit,5.57E+15,Sep-24,904,YES,1,18424,01-08-2013,2013,No
4120,1747,Visa,Credit,4.71E+15,Jul-23,149,NO,1,15400,01-08-2003,2008,No
4224,1747,Visa,Debit,4.80E+15,Feb-22,136,YES,2,14548,01-08-2007,2013,No
4895,1747,Mastercard,Credit,5.30E+15,Dec-16,740,YES,2,10100,01-09-2016,2016,No
1028,153,Discover,Credit,6.58E+15,Apr-11,416,YES,1,11200,01-02-2004,2008,No
5956,153,Mastercard,Debit,5.03E+15,Oct-24,240,YES,2,20291,01-12-2009,2011,No
107,153,Visa,Debit,4.38E+15,Aug-18,852,YES,1,32092,01-01-2006,2010,No
440,153,Mastercard,Debit,5.46E+15,Feb-20,217,YES,1,20463,01-01-2020,2020,No
746,429,Visa,Debit,4.47E+15,Aug-22,738,YES,1,15802,01-01-2020,2020,No
